AGE,B,RM,CRIM,DIS,INDUS,LSTAT,NOX,PTRATIO,RAD,ZN,TAX,CHAS,Target
65.2,396.9,6.575,0.00632,4.09,2.31,4.98,0.538,15.3,1,18,296,0,24
78.9,396.9,6.421,0.02731,4.9671,7.07,9.14,0.469,17.8,2,0,242,0,21.6
61.1,392.83,7.185,0.02729,4.9671,7.07,4.03,0.469,17.8,2,0,242,0,34.7
45.8,394.63,6.998,0.03237,6.0622,2.18,2.94,0.458,18.7,3,0,222,0,33.4
54.2,396.9,7.147,0.06905,6.0622,2.18,5.33,0.458,18.7,3,0,222,0,36.2
58.7,394.12,6.43,0.02985,6.0622,2.18,5.21,0.458,18.7,3,0,222,0,28.7
66.6,395.6,6.012,0.08829,5.5605,7.87,12.43,0.524,15.2,5,12.5,311,0,22.9
96.1,396.9,6.172,0.14455,5.9505,7.87,19.15,0.524,15.2,5,12.5,311,0,27.1
100,386.63,5.631,0.21124,6.0821,7.87,29.93,0.524,15.2,5,12.5,311,0,16.5
85.9,386.71,6.004,0.17004,6.5921,7.87,17.1,0.524,15.2,5,12.5,311,0,18.9
94.3,392.52,6.377,0.22489,6.3467,7.87,20.45,0.524,15.2,5,12.5,311,0,15
82.9,396.9,6.009,0.11747,6.2267,7.87,13.27,0.524,15.2,5,12.5,311,0,18.9
39,390.5,5.889,0.09378,5.4509,7.87,15.71,0.524,15.2,5,12.5,311,0,21.7
61.8,396.9,5.949,0.62976,4.7075,8.14,8.26,0.538,21,4,0,307,0,20.4
84.5,380.02,6.096,0.63796,4.4619,8.14,10.26,0.538,21,4,0,307,0,18.2
56.5,395.62,5.834,0.62739,4.4986,8.14,8.47,0.538,21,4,0,307,0,19.9
29.3,386.85,5.935,1.05393,4.4986,8.14,6.58,0.538,21,4,0,307,0,23.1
81.7,386.75,5.99,0.7842,4.2579,8.14,14.67,0.538,21,4,0,307,0,17.5
36.6,288.99,5.456,0.80271,3.7965,8.14,11.69,0.538,21,4,0,307,0,20.2
69.5,390.95,5.727,0.7258,3.7965,8.14,11.28,0.538,21,4,0,307,0,18.2
98.1,376.57,5.57,1.25179,3.7979,8.14,21.02,0.538,21,4,0,307,0,13.6
89.2,392.53,5.965,0.85204,4.0123,8.14,13.83,0.538,21,4,0,307,0,19.6
91.7,396.9,6.142,1.23247,3.9769,8.14,18.72,0.538,21,4,0,307,0,15.2
100,394.54,5.813,0.98843,4.0952,8.14,19.88,0.538,21,4,0,307,0,14.5
94.1,394.33,5.924,0.75026,4.3996,8.14,16.3,0.538,21,4,0,307,0,15.6
85.7,303.42,5.599,0.84054,4.4546,8.14,16.51,0.538,21,4,0,307,0,13.9
90.3,376.88,5.813,0.67191,4.682,8.14,14.81,0.538,21,4,0,307,0,16.6
88.8,306.38,6.047,0.95577,4.4534,8.14,17.28,0.538,21,4,0,307,0,14.8
94.4,387.94,6.495,0.77299,4.4547,8.14,12.8,0.538,21,4,0,307,0,18.4
87.3,380.23,6.674,1.00245,4.239,8.14,11.98,0.538,21,4,0,307,0,21
94.1,360.17,5.713,1.13081,4.233,8.14,22.6,0.538,21,4,0,307,0,12.7
100,376.73,6.072,1.35472,4.175,8.14,13.04,0.538,21,4,0,307,0,14.5
82,232.6,5.95,1.38799,3.99,8.14,27.71,0.538,21,4,0,307,0,13.2
